temprature,power_usage,usage_percent
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
42,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
43,3305,0
42,3100,0
42,6540,0
42,6540,0
42,6195,0
42,6195,0
42,6195,0
42,6195,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,6176,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4715,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
43,4337,0
